ID,Title,Year,Year_Range,PrincipalName,PrincipalAffiliationName,Institution_Type,Institution_Sub,CenterName,FundTypeDesc,ProgramName,GoalText,Goal_3_v_4,AwardAmt,AwardPer,AwardNum,Status_Now,
1883,Effectiveness Study of Tools for Getting Along: Teaching Students to Problem Solve,2016,2012-2016,"Sumi, W. Carl",SRI International,Firm,Large,NCSER,Grant,Social and Behavioral Outcomes to Support Learning,Effectiveness,4,"$3,942,177",5 years (9/1/2016-8/31/2021),R324A160010,In field,
1811,"Efficacy Study of Foundations, School-wide Positive Discipline for Middle Schools",2016,2012-2016,"Sumi, W. Carl",SRI International,Firm,Large,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,283,424",4 years (9/1/2016-8/31/2020),R305A160005,In field,
2220,"A Study of ""Discipline in the Secondary Classroom"": A Positive Approach to Behavior Management",2018,2017-2019,"Sumi, W. Carl",SRI International,Firm,Large,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,296,399",5 years (09/01/2018 – 08/31/2023),R305A180013,In field,
990,Catalyzing Comprehension Through Discussion and Debate,2010,2007-2011,"Donovan, Suzanne",Strategic Education Research Partnership Institute,Firm,Center/Institute,NCER,Grant,Reading for Understanding Research Initiative,Multiple Goals,Multiple,"$19,352,384",5 years,R305F100026,Completed,
881,Randomized Evaluation of Curiosity Corner With Follow-Up Into SFA and Control Elementary Programs,2003,2002-2006,"Chambers, Bette",Success for All Foundation,Firm,Center/Institute,NCER,Grant,Preschool Curriculum Evaluation Research,Efficacy and Replication,3,"$1,481,236",4 years,R305J030138,Completed,
3287,Lightning Squad: Evaluating the Efficacy of Computer-Assisted Tutoring with Cooperative Learning for Struggling Readers,2019,2017-2019,"Madden, Nancy A.",Success for All Foundation,Firm,Center/Institute,NCER,Grant,Education Technology,Efficacy,3,"$3,299,905",4 years (08/01/19–07/31/22),R305A190180,In field,
1529,The Impact of a Teacher-Led Early Algebra Intervention on Children's Algebra-Readiness for Middle School,2014,2012-2016,"Blanton, Maria","Technical Education Research Centers, Inc. (TERC)",Firm,Center/Institute,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$3,475,975",4 years (7/1/2014–6/30/2018),R305A140092,Completed,
193,Quick Reads Supplementary Tutoring Efficacy and Replication Trials,2004,2002-2006,"Vadasy, Patricia",Washington Research Institute,Firm,Center/Institute,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$688,980",3 years,R305G040103,Completed,
519,"Efficacy of Sound Partners Supplemental Tutoring for ELL Students, Grades K-1",2007,2007-2011,"Vadasy, Patricia",Washington Research Institute,Firm,Center/Institute,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$1,323,429",3 years,R305A070324,Completed,
1005,Efficacy of Rich Vocabulary (RVOC) Instruction for Classrooms,2010,2007-2011,"Vadasy, Patricia",Washington Research Institute,Firm,Center/Institute,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$1,338,371",3 years,R305A100568,Completed,
339,A Randomized Controlled Study of the Efficacy of Reading Apprenticeship Professional Development for High School History and Science Teaching and Learning,2005,2002-2006,"Greenleaf, Cynthia",WestEd,Firm,Large,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$2,997,972",4 years,R305M050031,Completed,
116,Math Pathways and Pitfalls Lessons for K-7 Students: Improving Mathematics Achievement for English Language Learners,2005,2002-2006,"Barnett-Clarke, Carne",WestEd,Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$2,681,828",5 years,R305K050050,Completed,
112,Scaling Up the Implementation of a Pre-Kindergarten Mathematics Curriculum in Public Preschool Programs,2005,2002-2006,"Starkey, Prentice",WestEd,Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Scale-Up Evaluations,4,"$6,000,000",5 years,R305K050004,Completed,
504,Evaluation of the First In Math Online Mathematics Program in New York City: A Randomized Control Trial,2007,2007-2011,"Flaherty, John",WestEd,Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$859,940",3 years,R305B070048,Completed,
505,Diagnostic Embedded Classroom Assessment—An Efficacy Study,2007,2007-2011,"Schneider, Steve",WestEd,Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$2,730,259",4 years,R305B070354,Completed,
591,Closing the SES Related Gap in Young Children's Mathematical Knowledge,2008,2007-2011,"Starkey, Prentice",WestEd,Firm,Large,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$3,000,482",4 years,R305A080697,Completed,
601,A Randomized Controlled Study of the Effects of Intelligent Online Chemistry Tutors in Urban California School Districts,2008,2007-2011,"Schneider, Steve",WestEd,Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$2,868,006",4 years,R305A080063,Completed,
728,Efficacy Study of AnimalWatch: An Intelligent Tutoring System for Pre-Algebra,2009,2007-2011,"Schneider, Steve",WestEd,Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$2,698,814",4 years,R305A090197,Completed,
911,Linear Functions for Teaching: An Efficacy Study of Learning and Teaching Linear Functions,2010,2007-2011,"Schneider, Steve",WestEd,Firm,Large,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$2,959,275",4 years,R305A100047,Completed,
1041,National Research & Development Center on Cognition and Mathematics Instruction,2010,2007-2011,"Schneider, Steve",WestEd,Firm,Large,NCER,Grant,Education Research and Development Centers,Multiple Goals,Multiple,"$9,998,406",5 years,R305C100024,Completed,
1146,Impact of the WRITE Program on English Learner Achievement and Teacher Instructional Practice,2011,2007-2011,"Haas, Eric",WestEd,Firm,Large,NCER,Grant,English Learners,Efficacy and Replication,3,"$2,691,599",4 years,R305A110176,Completed,
1186,Making Sense of SCIENCE: Efficacy Study of a Professional Development Series for Middle School Science Teachers,2011,2007-2011,"Schneider, Steve",WestEd,Firm,Large,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$2,980,934",4 years,R305A110515,Completed,
1280,A Randomized Study of the Efficacy of a Two-Year Mathematics Intervention for At-Risk Pre-Kindergarten and Kindergarten Students,2012,2012-2016,"Starkey, Prentice",WestEd,Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$3,500,000",4 years (3/1/2012–2/29/2016),R305A120262,Completed,
1521,Khan Academy Resources for Maximizing Mathematics Achievement: A Postsecondary Mathematics Efficacy Study,2014,2012-2016,"Schneider, Steve",WestEd,Firm,Large,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$2,197,416",3 years (7/1/2014-6/30/2017),R305A140340,Completed,
1657,Word Learning Strategies: A Program for Upper-Elementary Readers,2015,2012-2016,"Schneider, Steve",WestEd,Firm,Large,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$3,497,205",4 years (7/1/2015-6/30/2019),R305A150108,Completed,
1702,Improving Children's Understanding of Mathematical Equivalence: An Efficacy Study,2015,2012-2016,"Davenport, Jodi",WestEd,Firm,Large,NCER,Grant,Cognition and Student Learning,Efficacy and Replication,3,"$3,492,261",4 years (9/1/2015-8/31/2019),R305A150088,Completed,
2058,Efficacy of ASSISTments Online Homework Support for Middle School Mathematics Learning: A Replication Study,2017,2017-2019,"Feng, Mingyu",WestEd,Firm,Large,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$3,298,853",4 years (09/01/2017 - 08/31/2021),R305A170641,In field,
2134,Efficacy Study of an Integrated Science and Literacy Curriculum for Young Learners,2018,2017-2019,"Harris, Christopher",WestEd,Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$3,298,589",4 years (07/01/2018 - 06/30/2022),R305A180513,In field,
2194,"Efficacy Study of Adventures Aboard the S.S.GRIN: Social, Emotional, and Academic Skills",2018,2017-2019,"Schneider, Steve",WestEd,Firm,Large,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$2,997,518",3.5 Years (07/01/2018 - 01/31/2022),R305A180224,In field,
3323,An Efficacy Study of the MathSpring Personalized Learning System That Responds to Student Affect,2019,2017-2019,"Feng, Mingyu",WestEd,Firm,Large,NCER,Grant,Education Technology,Efficacy,3,"$3,299,446",4 years (07/01/19–06/30/23),R305A190256,In field,
628,National Research & Development Center on Cognition and Science Instruction,2008,2007-2011,"Merlino, F. Joseph",21st Century Partnership for STEM Education,Other,Center/Institute,NCER,Grant,Education Research and Development Centers,Multiple Goals,Multiple,"$9,995,038",5 years,R305C080009,Completed,
655,Massachusetts Expanded Learning Time: Implementation and Outcomes,2008,2007-2011,"Conaway, Carrie",Massachusetts Department of Elementary & Secondary Education,Other,Other,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$2,948,195",4 years,R305A080372,Completed,
923,ECHOS: Early Childhood Hands on Science,2010,2007-2011,"Brown, Judy",Miami Museum of Science,Other,Other,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$2,999,904",4 years,R305A100275,Completed,
1728,Efficacy of a Growth Mindset Intervention to Increase Student Success,2015,2012-2016,"Sorich Blackwell, Lisa","Mindset Works, LLC",Other,Other,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,499,850",4 years (7/1/2015-6/30/2019),R305A150142,Completed,
98,"Implementing Public School Choice in Charlotte, NC: Impacts on Student Outcomes, Competitiveness and Racial Segregation",2005,2002-2006,"Kane, Thomas",National Bureau of Economic Research (NBER),Firm,Center/Institute,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,4 years,"$1,364,688",R305E050052,Completed,
320,Investigating the Efficacy of a Professional Development Program in Classroom Assessment for Middle School Reading and Mathematics,2005,2002-2006,"Schneider, Christina",South Carolina Department of Education,Other,Other,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$1,680,625",4 years,R305M050270,Completed,
1105,Efficacy Trials with a New Early Literacy and Language Curriculum for Preschool Children with Developmental Speech and/or Language Impairment,2011,2007-2011,"Wilcox, M. Jeanne",Arizona State University,Uni,Public,NCSER,Grant,Early Intervention and Early Learning in Special Education,Efficacy and Replication,3,"$4,197,151",3/1/2011–2/28/2015,R324A110048,Completed,
1998,Efficacy of the TELL Curriculum for Preschool Children who are Economically Disadvantaged,2017,2017-2019,"Gray, Shelley",Arizona State University,Uni,Public,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$3,288,658",4 years (07/01/2017-06/30/2021),R305A170068,In field,
3334,A Conceptual Efficacy Replication of the <em>TELL</em> Preschool Curriculum with Web-Based Implementation Support and Professional Development Variations,2019,2017-2019,"Wilcox, M. Jeanne",Arizona State University,Uni,Public,NCSER,Grant,Early Intervention and Early Learning in Special Education,Replication Efficacy,4,"$3,599,825",5 years (08/01/2019-07/31/2024),R324A190181,In field,
969,A Randomized Trial of Conjoint Behavioral Consultation (CBC) in Rural Educational Settings: Efficacy for Elementary Students With Disruptive Behaviors,2010,2007-2011,"Sheridan, Susan","Board of Regents, University of Nebraska, University of Nebraska-Lincoln",Uni,Public,NCSER,Grant,Social and Behavioral Outcomes to Support Learning,Efficacy and Replication,3,"$2,999,994",4/1/2012-3/31/2014,R324A100115,Completed,
1243,A Randomized Controlled Trial of Prevent-Teach-Reinforce for Young Children,2012,2012-2016,"Dunlap, Glen","Board of Regents, University of Nevada, Reno",Uni,Public,NCSER,Grant,Early Intervention and Early Learning in Special Education,Efficacy and Replication,3,"$2,667,001",04/01/2012–03/31/2016,R324A120097,Completed,
931,"Evaluation of a Random Assignment Intervention to Improve College Choice Among High Achieving, Low Income Students",2010,2007-2011,"Hoxby, Caroline",Board of Trustees of the Leland Stanford Junior University,Uni,Private,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$2,879,635",4 years,R305A100120,Completed,
991,Reading for Understanding Across Grades 6 through 12: Evidence-Based Argumentation for Disciplinary Learning,2010,2007-2011,"Goldman, Susan",Board of Trustees of the University of Illinois,Uni,Public,NCER,Grant,Reading for Understanding Research Initiative,Multiple Goals,Multiple,"$19,256,585",5 years,R305F100007,Completed,
2196,Investigation of How and for Whom the Positive Action Social-Emotional and Character Development Program has its Effects on Student Behavior and Academic Achievement,2018,2017-2019,"Siebert, Carl",Boise State University,Uni,Public,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$700,000",3 years (07/01/2018 - 06/30/2021),R305A180259,In field,
2006,Assessing the Efficacy and Implementation of City Connects: A Systemic Approach to Student Support,2017,2017-2019,"Walsh, Mary",Boston College,Uni,Private,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$2,507,664",4 years (07/01/2017 - 06/30/2021),R305A170471,In field,
1761,Using Teacher Evaluation Data to Drive Instructional Improvement: Evidence from the Evaluation Partnership Program in Tennessee,2015,2012-2016,"Papay, John",Brown University,Uni,Private,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$4,992,450",5 years (8/1/2015-7/31/2020),R305E150005,Not completed,"severe reduction to scope and effective  sample size as a result of change in state leadership and commitment to the intervention, which was supposed to be implemented statewide with full state support."
3256,The Consequences of High School Exit Examinations for Student Life Outcomes: Evidence from a Research-Practice Partnership in Massachusetts,2019,2017-2019,"Papay, John",Brown University,Uni,Private,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$4,999,507",5 years (07/01/2019 - 06/30/2024),R305H190035,In field,
1416,Efficacy of a Comprehensive School-Based Intervention for Children with High-Functioning Autism Spectrum Disorders (HFASDs),2013,2012-2016,"Lopata, Christopher",Canisius College,Uni,Private,NCSER,Grant,Autism Spectrum Disorders,Efficacy and Replication,3,"$3,399,077",8/1/2013–7/31/2017,R324A130216,Completed,
2150,Testing the Long-Term Beneficial Impacts from a Comprehensive School Intervention for High-Functioning Children with ASD (HFASD): An Efficacy Follow-Up Study,2018,2017-2019,"Lopata, Christopher",Canisius College,Uni,Private,NCSER,Grant,Autism Spectrum Disorders,Efficacy and Replication,3,"$880,430",3 years (08/01/2018–07/31/2021),R324A180005,In field,
487,Determinants of Student Outcomes in an Urban School District: Educational Interventions and Family Choices,2007,2007-2011,"Epple, Dennis",Carnegie Mellon University,Uni,Private,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$2,069,750",4 years,R305A070117,Completed,
2014,Evaluation of Organization Skills Training Program for Upper Elementary Students,2017,2017-2019,"Power, Thomas",Children's Hospital of Philadelphia,Uni,Hospital,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,275,484",5 years (07/01/2017 - 06/30/2022),R305A170052,In field,
3316,School Adolescent Mood Project: Efficacy of Counselor-Implemented IPT-AST,2019,2017-2019,"Young, Jami",Children's Hospital of Philadelphia,Uni,Hospital,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy,3,"$3,599,539",5 years (07/01/2019 - 06/30/2024),R305A190088,In field,
3306,"Evaluation of Homework, Organization, and Planning Skills Program: A Conceptual Replication",2019,2017-2019,"Power, Thomas",Children's Hospital of Philadelphia,Uni,Hospital,NCER,Grant,Social and Behavioral Context for Academic Learning,Replication Effectiveness,4,"$3,950,738",5 years (07/01/2019 - 06/30/2024),R305A190222,In field,
736,The Effects of No Child Left Behind on Student Outcomes and School Services,2009,2007-2011,"Rockoff, Jonah",Columbia University,Uni,Private,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$806,587",3 years,R305A090032,Completed,
124,National Center for Postsecondary Research,2006,2002-2006,"Bailey, Thomas","Columbia University, Teachers College",Uni,Private,NCER,Grant,Education Research and Development Centers,Multiple Goals,Multiple,"$9,813,619",5 years,R305A060010,Completed,
1183,The Center for Analysis of Postsecondary Education and Employment,2011,2007-2011,"Bailey, Thomas","Columbia University, Teachers College",Uni,Private,NCER,Grant,Education Research and Development Centers,Multiple Goals,Multiple,"$9,951,362",5 years,R305C110011,Completed,
1493,Center for the Analysis of Postsecondary Readiness,2014,2012-2016,"Bailey, Thomas","Columbia University, Teachers College",Uni,Private,NCER,Grant,Education Research and Development Centers,Multiple Goals,Multiple,"$9,989,803",5 years (7/1/2014–6/30/2019),R305C140007,Completed,
1869,"Improving Low-Income Students' Odds of Being ""On-Track"" and College Ready in Chicago Public Schools: The Respective Roles of Child Self-Regulation and Preschool vs. High School Intervention",2016,2012-2016,"Watts, Tyler W.","Columbia University, Teachers College",Uni,Private,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,172,999",4 years (7/1/2016-6/30/2020),R305A190521,In field,
58,A Randomized Trial of Two Promising Interventions for Students with Attention Problems,2005,2002-2006,"Rabiner, David",Duke University,Uni,Private,NCER,Grant,Cognition and Student Learning,Efficacy and Replication,3,"$1,150,719",3 years,R305H050036,Completed,
737,The Impact of School Accountability Sanctions on Student Outcomes: Evidence from North Carolina,2009,2007-2011,"Vigdor, Jacob",Duke University,Uni,Private,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$850,948",4 years,R305A090019,Completed,
850,Effects of Classroom Management Training on Early Learning Skills,2009,2007-2011,"Murray, Desiree",Duke University,Uni,Private,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$1,456,850",4 years,R305A090361,Completed,
1719,Effects of the Incredible Years Dinosaur Classroom Prevention Program on Preschool Children's Executive Functioning and Academic Achievement,2015,2012-2016,"Rosanbalm, Mary Katherine",Duke University,Uni,Private,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$3,410,482",4 years (7/1/2015-6/30/2019),R305A150431,Completed,
2154,Efficacy of the DCCS Program: ESL and Classroom Teachers Working Together with Students and Families,2018,2017-2019,"Babinski, Leslie",Duke University,Uni,Private,NCER,Grant,English Learners,Efficacy and Replication,3,"$3,299,148",5 years (07/01/2018–06/30/2023),R305A180336,In field,
1618,Efficacy of the START-Play Program for Infants with Neuromotor Disorders,2015,2012-2016,"Harbourne, Regina",Duquesne University,Uni,Private,NCSER,Grant,Early Intervention and Early Learning in Special Education,Efficacy and Replication,3,"$3,430,109",4 years (7/1/2015-6/30/2019),R324A150103,Completed,
183,"Embedding Knowledge-Focused Reading Comprehension Strategies in Cumulative Content-Area Instruction in Grades 3-4-5: An Assessment of Immediate, Transfer, and Long-Term Impact on Reading Achievement",2004,2002-2006,"Romance, Nancy",Florida Atlantic University,Uni,Public,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$749,973",3 years,R305G040089,Completed,
396,Adaptive Treatments for Children with ADHD,2006,2002-2006,"Pelham, William",Florida International University,Uni,Public,NCSER,Grant,Social and Behavioral Outcomes to Support Learning,Efficacy and Replication,3,"$2,711,468",4/1/2006 to 3/31/2010,R324B060047,Completed,
1261,A Summer Preparatory Program for Middle and High School Students with ADHD,2012,2012-2016,"Pelham, William",Florida International University,Uni,Public,NCSER,Grant,Social and Behavioral Outcomes to Support Learning,Efficacy and Replication,3,"$3,478,637",03/1/2012–02/29/2016,R324A120169,Completed,
2073,Adaptive Response to Intervention (RTI) for Students with ADHD,2017,2017-2019,"Pelham, William",Florida International University,Uni,Public,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,298,918",4 years (07/01/2017–06/30/2021),R305A170523,In field,
359,Scaling Up an Assessment-Driven Intervention Using the Internet and Hand-held Computers,2002,2002-2006,"Foorman, Barbara",Florida State University,Uni,Public,NCER,Grant,Reading and Writing,Scale-Up Evaluations,4,"$6,696,257",5 years,R305W020005,Completed,
878,Evaluating the Effectiveness of Preschool Literacy Curriculum for Children At-Risk,2003,2002-2006,"Lonigan, Christopher",Florida State University,Uni,Public,NCER,Grant,Preschool Curriculum Evaluation Research,Efficacy and Replication,3,"$1,675,653",4 years,R305J030093,Completed,
367,A Randomized Trial of Preschool Instructional Strategies to Improve School Performance and Reduce Use of Special Education,2006,2002-2006,"Lonigan, Christopher",Florida State University,Uni,Public,NCSER,Grant,Early Intervention and Early Learning in Special Education,Efficacy and Replication,3,"$3,299,598",6/1/2006 to 5/31/2010,R324E060086,Completed,
515,Child-Instruction Interactions in Reading: Examining Causal Effects of Individualized Instruction in Second and Third Grade,2007,2007-2011,"Connor, Carol M.",Florida State University,Uni,Public,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$3,000,000",4 years,R305B070074,Completed,
978,A Randomized Trial of the SCERTS Curriculum for Students with Autism Spectrum Disorders in Early Elementary School Classrooms,2010,2007-2011,"Wetherby, Amy",Florida State University,Uni,Public,NCSER,Grant,Autism Spectrum Disorders,Efficacy and Replication,3,"$2,999,364",03/01/2010 - 02/28/2014,R324A100174,Completed,
988,"Examining Effective Intervention Targets, Longitudinal Intensity, and Scaling Factors for Pre-K to 5th Grade Student Comprehension",2010,2007-2011,"Lonigan, Christopher",Florida State University,Uni,Public,NCER,Grant,Reading for Understanding Research Initiative,Multiple Goals,Multiple,"$20,000,000",5 years,R305F100027,Completed,
1188,A Randomized Controlled Trial of Student Success Skills: A Program to Improve Academic Achievement for All Students,2011,2007-2011,"Webb, Linda",Florida State University,Uni,Public,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$2,738,187",4 years,R305A120810,Completed,
1208,State Merit Aid Program and Student College Choice and Success: Evaluating the Efficacy of Florida's Bright Futures Program,2011,2007-2011,"Hu, Shouping",Florida State University,Uni,Public,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$774,910",3 years,R305A110609,Completed,
1295,Replicating the CGI Experiment in Diverse Environments,2012,2012-2016,"Schoen, Robert",Florida State University,Uni,Public,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$3,427,187",4 years (9/01/2012-8/31/2016),R305A120781,Completed,
1791,Efficacy of the Core Knowledge Language Arts Read Aloud Program in Kindergarten through Second Grade Classrooms,2016,2012-2016,"Cabell, Sonia",Florida State University,Uni,Public,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$3,299,999",5 years (7/1/2016-6/30/2021),R305A170635,In field,
1798,Training-Induced Language and Literacy Improvement in Children with Cochlear Implants,2016,2012-2016,"Ingvalson, Erin",Florida State University,Uni,Public,NCSER,Grant,Cognition and Student Learning in Special Education,Efficacy and Replication,3,"$3,499,939",4 years (7/1/2016-6/30/2020),R324A160193,In field,
1822,Generating Large and Sustained Impacts on Early Language Skills: Evaluation of Timing and Duration of Intervention,2016,2012-2016,"Lonigan, Christopher",Florida State University,Uni,Public,NCER,Grant,Cognition and Student Learning,Efficacy and Replication,3,"$3,300,000",4 years (7/1/2016–6/30/2020),R305A160241,In field,
1850,Evaluation of Florida's Developmental Education Redesign,2016,2012-2016,"Hu, Shouping",Florida State University,Uni,Public,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$3,283,265",5 years (7/1/2016-6/30/2021),R305A160166,In field,
2151,Efficacy of the Early Social Interaction (ESI) Model for Toddlers with Early Signs of Autism Spectrum Disorder in Community Early Intervention Programs,2018,2017-2019,"Wetherby, Amy",Florida State University,Uni,Public,NCSER,Grant,Early Intervention and Early Learning in Special Education,Efficacy and Replication,3,"$3,300,000",5 years (07/01/2018-06/30/2023),R324A180193,In field,
2195,Follow-up to the Replicating the CGI Experiment in Diverse Environments Study,2018,2017-2019,"Schoen, Robert",Florida State University,Uni,Public,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$1,100,000",2 years (07/01/2018 - 06/30/2020),R305A180429,In field,
1524,Testing the Integration of an Empirically-supported Teacher Consultation Model and a Social-emotional Learning and Literacy Intervention in Urban Elementary Schools,2014,2012-2016,"Brown, Joshua",Fordham University,Uni,Private,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,490,163",4 Years (9/1/2014-8/31/2018),R305A140559,Completed,
76,Increasing Learning By Promoting Early Abstract Thought,2003,2002-2006,"Pasnak, Robert",George Mason University,Uni,Private,NCER,Grant,Cognition and Student Learning,Efficacy and Replication,3,"$721,039",3 years,R305H030031,Completed,
475,An Economical Improvement In Literacy and Numeracy,2007,2007-2011,"Pasnak, Robert",George Mason University,Uni,Private,NCER,Grant,Cognition and Student Learning,Efficacy and Replication,3,"$684,666",2 years,R305B070542,Completed,
802,"Focusing on the Efficacy of Teaching Advanced Forms of Patterning on First Graders' Improvements in Reading, Mathematics, and Reasoning Ability",2009,2007-2011,"Pasnak, Robert",George Mason University,Uni,Private,NCER,Grant,Cognition and Student Learning,Efficacy and Replication,3,"$1,577,827",4 years,R305A090353,Completed,
2057,"Focusing on the Efficacy of Teaching Advanced Forms of Patterning on Kindergartners' Improvements in Literacy, Mathematics, and Reasoning Ability",2017,2017-2019,"Pasnak, Robert",George Mason University,Uni,Private,NCER,Grant,Cognition and Student Learning,Efficacy and Replication,3,"$1,621,738",3 years (07/01/2017 – 06/30/2020),R305A170114,In field,
154,Building Language for Literacy and Core Knowledge,2003,2002-2006,"Ramey, Sharon",Georgetown University,Uni,Private,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$1,964,376",4 years,R305J030120,Completed,
1152,"The Impact of Incentives to Recruit and Retain Teachers in ""Hard-to-Staff"" Subjects: An Analysis of the Florida Critical Teacher Shortage Program",2011,2007-2011,"Sass, Tim",Georgia State University,Uni,Public,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$495,575",3 years,R305A110967,Completed,
3288,PAWS: Efficacy,2019,2017-2019,"Puranik, Cynthia",Georgia State University,Uni,Public,NCER,Grant,Reading and Writing,Efficacy,3,"$3,209,379",5 Years (09/01/2019 - 08/31/2024),R305A190168,In field,
3311,Liberate,2019,2017-2019,"Houchins, David",Georgia State University,Uni,Public,NCSER,Grant,Special Topic: Systems-Involved Students with Disabilities,Efficacy,3,"$3,299,326",4 years (07/01/2019–06/30/2023),R324A190145,In field,
385,Multiple-Component Remediation for Struggling Middle School Readers,2006,2002-2006,"Morris, Robin","Georgia State University Research Foundation, Inc",Uni,Public,NCSER,Grant,"Reading, Writing, and Language Development",Efficacy and Replication,3,"$2,882,630",6/1/2006 to 5/31/2010,R324G060005,Completed,
824,Word Generation: An Efficacy Trial,2009,2007-2011,"Snow, Catherine",Harvard University,Uni,Private,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$2,853,512",4 years,R305A090555,Completed,
1538,Student Outcomes of Integrative Mental Health Services,2014,2012-2016,"Weisz, John",Harvard University,Uni,Private,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,499,669",4 years (8/1/2014-07/31/2018),R305A140253,Completed,
1560,Digital Messaging to Improve College Enrollment and Success,2014,2012-2016,"Avery, Chris",Harvard University,Uni,Private,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$3,499,999",4 years (7/1/2014 – 6/30/2018),R305A140121,Completed,
2227,The National Center for Rural Education Research Networks (NCRERN),2019,2017-2019,"Kane, Thomas",Harvard University,Uni,Private,NCER,Grant,Education Research and Development Centers,Multiple Goals,Multiple,"$9,994,246",5 years (2/2/2019 – 1/31/2024),R305C1900004,In field,
1876,An Efficacy Trial of the Early Achievements Comprehensive Intervention for Preschoolers with Autism,2016,2012-2016,"Landa, Rebecca","Hugo W. Moser Research Institute at Kennedy Krieger, Inc.",Uni,Hospital,NCSER,Grant,Autism Spectrum Disorders,Efficacy and Replication,3,"$3,499,999",4 years (7/1/2016-6/30/2020),R324A160228,In field,
1576,An Experimental Design Evaluation of Full-Day Kindergarten,2005,2002-2006,"Plucker, Jonathan",Indiana University,Uni,Public,NCER,Grant,Field Initiated Evaluations of Education Innovations,Efficacy and Replication,3,"$802,421",4 years (7/1/2005-6/30/2009),R305F050256,Completed,
